MF,FinalBMIS,Orig_RSD,FinalRSD,SampID,runDate,type,samp,replicate,Area,Adjusted_Area
3OHC12-HSL,Inj_vol,0.5340175646848415,0.5340175646848415,210329_Smp_Aloha_A,210329,Smp,Aloha,A,NA,NA
3OHC12-HSL,Inj_vol,0.5340175646848415,0.5340175646848415,210329_Smp_Aloha_B,210329,Smp,Aloha,B,NA,NA
3OHC12-HSL,Inj_vol,0.5340175646848415,0.5340175646848415,210329_Smp_Aloha_C,210329,Smp,Aloha,C,NA,NA
3OHC12-HSL,Inj_vol,0.5340175646848415,0.5340175646848415,210329_Smp_Mort_Test_A,210329,Smp,Mort,Test,2810,2810
3OHC12-HSL,Inj_vol,0.5340175646848415,0.5340175646848415,210329_Smp_Mort_Test_B,210329,Smp,Mort,Test,15986,15986
3OHC12-HSL,Inj_vol,0.5340175646848415,0.5340175646848415,210329_Smp_PS_A,210329,Smp,PS,A,10053,10053
3OHC12-HSL,Inj_vol,0.5340175646848415,0.5340175646848415,210329_Smp_PS_B,210329,Smp,PS,B,25400,25400
3OHC12-HSL,Inj_vol,0.5340175646848415,0.5340175646848415,210329_Smp_PS_C,210329,Smp,PS,C,NA,NA
Abscisic Acid,Inj_vol,0.19039073189927164,0.19039073189927164,210329_Poo_TruePoo_Full1,210329,Poo,TruePoo,Full1,136423,136423
Abscisic Acid,Inj_vol,0.19039073189927164,0.19039073189927164,210329_Poo_TruePoo_Full2,210329,Poo,TruePoo,Full2,159838,159838
Abscisic Acid,Inj_vol,0.19039073189927164,0.19039073189927164,210329_Poo_TruePoo_Full3,210329,Poo,TruePoo,Full3,144785,144785
Abscisic Acid,Inj_vol,0.19039073189927164,0.19039073189927164,210329_Poo_TruePoo_Half1,210329,Poo,TruePoo,Half1,46779,93558
Abscisic Acid,Inj_vol,0.19039073189927164,0.19039073189927164,210329_Poo_TruePoo_Half2,210329,Poo,TruePoo,Half2,60723,121446
Abscisic Acid,Inj_vol,0.19039073189927164,0.19039073189927164,210329_Poo_TruePoo_Half3,210329,Poo,TruePoo,Half3,54594,109188
Abscisic Acid,Inj_vol,0.19039073189927164,0.19039073189927164,210329_Smp_Aloha_A,210329,Smp,Aloha,A,256879,256879
