MF,FinalBMIS,Orig_RSD,FinalRSD,SampID,runDate,type,samp,replicate,Area,Adjusted_Area
Cystine_Pos,Inj_vol,0.20129792234453042,0.20129792234453042,210322_Poo_TruePoo_Half1,210322,Poo,TruePoo,Half1,470325,940650
Cystine_Pos,Inj_vol,0.20129792234453042,0.20129792234453042,210322_Poo_TruePoo_Half2,210322,Poo,TruePoo,Half2,322687,645374
Cystine_Pos,Inj_vol,0.20129792234453042,0.20129792234453042,210322_Poo_TruePoo_Half3,210322,Poo,TruePoo,Half3,301975,603950
Cytidine_Pos,"L-Isoleucine, 15N",0.19090697554016348,0.04777258386446772,210322_Blk_PPL_Blank_A,210322,Blk,PPL,Blank,0,0
Cytidine_Pos,"L-Isoleucine, 15N",0.19090697554016348,0.04777258386446772,210322_Blk_PPL_Blank_B,210322,Blk,PPL,Blank,0,0
Cytidine_Pos,"L-Isoleucine, 15N",0.19090697554016348,0.04777258386446772,210322_Blk_PPL_Blank_C,210322,Blk,PPL,Blank,0,0
Cytidine_Pos,"L-Isoleucine, 15N",0.19090697554016348,0.04777258386446772,210322_Smp_PPL_Aloha_A,210322,Smp,PPL,Aloha,82718,45301.516735328696
Cytidine_Pos,"L-Isoleucine, 15N",0.19090697554016348,0.04777258386446772,210322_Smp_PPL_Aloha_B,210322,Smp,PPL,Aloha,80357,45352.637678317355
Cytidine_Pos,"L-Isoleucine, 15N",0.19090697554016348,0.04777258386446772,210322_Smp_PPL_Aloha_C,210322,Smp,PPL,Aloha,113810,59191.14425990758
Cytidine_Pos,"L-Isoleucine, 15N",0.19090697554016348,0.04777258386446772,210322_Smp_PPL_PS_A,210322,Smp,PPL,PS,133211,123998.85216630588
Cytidine_Pos,"L-Isoleucine, 15N",0.19090697554016348,0.04777258386446772,210322_Smp_PPL_PS_B,210322,Smp,PPL,PS,105860,88933.5499198079
Cytidine_Pos,"L-Isoleucine, 15N",0.19090697554016348,0.04777258386446772,210322_Smp_PPL_PS_C,210322,Smp,PPL,PS,97492,79743.9105726265
Cytidine_Pos,"L-Isoleucine, 15N",0.19090697554016348,0.04777258386446772,210322_Poo_TruePoo_Full1,210322,Poo,TruePoo,Full1,4903335,9690835.221663546
Cytidine_Pos,"L-Isoleucine, 15N",0.19090697554016348,0.04777258386446772,210322_Poo_TruePoo_Full2,210322,Poo,TruePoo,Full2,6179693,9269871.66306074
Cytidine_Pos,"L-Isoleucine, 15N",0.19090697554016348,0.04777258386446772,210322_Poo_TruePoo_Full3,210322,Poo,TruePoo,Full3,7596302,9875028.917610709
Cytidine_Pos,"L-Isoleucine, 15N",0.19090697554016348,0.04777258386446772,210322_Poo_TruePoo_Half1,210322,Poo,TruePoo,Half1,2334273,10089283.17535484
Cytidine_Pos,"L-Isoleucine, 15N",0.19090697554016348,0.04777258386446772,210322_Poo_TruePoo_Half2,210322,Poo,TruePoo,Half2,3012806,9777995.832911573
