MF,Fraction,mz,Retention_time,annotation,method,210329_Smp_PS_A,210329_Smp_PS_B,210329_Smp_PS_C,210329_Smp_PPL_Aloha_A,210329_Smp_PPL_Aloha_B,210329_Smp_PPL_Aloha_C,210329_Smp_PPL_PS_A,210329_Smp_PPL_PS_B,210329_Smp_PPL_PS_C,210329_Smp_Aloha_A,210329_Smp_Aloha_B,210329_Smp_Aloha_C,210322_Smp_PPL_PS_A,210322_Smp_PPL_PS_B,210322_Smp_PPL_PS_C,210322_Smp_Aloha_A,210322_Smp_Aloha_B,210322_Smp_Aloha_C,210322_Smp_PS_A,210322_Smp_PS_B,210322_Smp_PS_C,210322_Smp_PPL_Aloha_A,210322_Smp_PPL_Aloha_B,210322_Smp_PPL_Aloha_C
2535_HILICNeg,HILICNeg,409.00165,14.908,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3903062,4322056,6952706,NA,NA,NA,NA,NA,NA,16210558,1950314,11387624
2557_HILICNeg,HILICNeg,423.16632,2.251,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1872956,1892970,1869290,NA,NA,NA,NA,NA,NA,1620138,1607270,1620980
2573_HILICNeg,HILICNeg,439.08545,3.784,Unknown,CatEx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1253424,1385910,826724,NA,NA,NA
2579_HILICNeg,HILICNeg,451.33011,2.113,Unknown,CatEx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14862528,6233660,6969508,NA,NA,NA,NA,NA,NA
2579_HILICNeg,HILICNeg,451.33011,2.113,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37972,39586,55618,NA,NA,NA,NA,NA,NA,30239430,29416000,34795472
2618_HILICNeg,HILICNeg,528.00739,2.91,Unknown,CatEx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1444172,1962226,8048798,NA,NA,NA
2619_HILICNeg,HILICNeg,528.95148,14.923,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1194432,2030370,2176026,NA,NA,NA,NA,NA,NA,1803426,1292104,3516794
43_HILICPos,HILICPos,76.07635,7.227,Unknown,CatEx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,880853760,820673728,1146088192,43005920,46683168,40657572,NA,NA,NA
43_HILICPos,HILICPos,76.07635,7.227,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9623784,6092772,9517410
45_HILICPos,HILICPos,76.1035,9.333,Unknown,CatEx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1619930,1433916,1096190,1404468,1720022,1287236,NA,NA,NA
